,DATE,Profil,Région,Total énergie soutirée (Wh),Nb points soutirage
334,2022-04-13,RES4,Centre-Val de Loire,310964795.0,990268
335,2022-04-13,RES4,Hauts-de-France,420547955.0,1303240
336,2022-04-14,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,76744388.0,42960
337,2022-04-14,ENT3 (+ ENT4 + ENT5),Hauts-de-France,90936536.0,41328
338,2022-04-14,PRO1 (+ PRO1WE),Centre-Val de Loire,1733261102.0,4816212
339,2022-04-14,PRO1 (+ PRO1WE),Hauts-de-France,3734231049.0,9265328
340,2022-04-14,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1545158497.0,1965328
341,2022-04-14,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,2974788661.0,3537740
342,2022-04-14,PRO3,Centre-Val de Loire,64589810.0,66144
343,2022-04-14,PRO3,Hauts-de-France,97629035.0,82992
344,2022-04-14,PRO4,Centre-Val de Loire,65584389.0,113280
345,2022-04-14,PRO4,Hauts-de-France,88483722.0,118704
346,2022-04-14,PRO5,Centre-Val de Loire,372624813.0,1212144
347,2022-04-14,PRO5,Hauts-de-France,998137311.0,1989992
348,2022-04-14,RES1 (+ RES1WE),Centre-Val de Loire,2693041408.0,23009392
349,2022-04-14,RES1 (+ RES1WE),Hauts-de-France,7512856128.0,59296712
350,2022-04-14,RES11 (+ RES11WE),Centre-Val de Loire,1937842233.0,6866528
351,2022-04-14,RES11 (+ RES11WE),Hauts-de-France,2502072456.0,8891528
352,2022-04-14,RES2 (+ RES5),Centre-Val de Loire,9085475587.0,28837395
